php 8.1.3-1
php-apache 8.1.3-1
php-cgi 8.1.3-1
picom-ibhagwan-git 1578_Next.297.gc4107bb_2021.11.03-1
pinentry 1.2.0-1
pipewire 1:0.3.47-2
pixman 0.40.0-1
pkgconf 1.8.0-1
pkgfile 21-2
playerctl 2.4.1-1
polkit 0.120-4
polkit-gnome 0.105-8
polybar 3.5.7-2
poppler 22.02.0-2
poppler-data 0.4.11-1
poppler-glib 22.02.0-2
popt 1.18-3
postgresql-libs 13.5-1
powerline-common 2.8.2-4
powerline-fonts 2.8.2-4
procps-ng 3.3.17-1
proton-ge-custom-bin 7.2_GE_2-1
psmisc 23.4-1
pulseaudio 15.0-2
pulseaudio-alsa 1:1.2.6-3
python 3.10.2-1
python-appdirs 1.4.4-6
python-cachecontrol 1:0.12.6-4
python-cairo 1.20.1-3
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-colorama 0.4.4-6
python-colorlog 6.5.0-3
python-configobj 5.0.6.r110.g3e2f4cc-3
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.1-1
python-daemonize 2.5.0-5
python-distlib 0.3.4-1
python-distro 1.6.0-4
python-docopt 0.6.2-11
python-evdev 1.4.0-3
python-gobject 3.42.0-3
python-hidapi 0.11.0.2-3
python-html5lib 1.1-11
python-idna 3.3-4
python-lxml 4.7.1-1
python-more-itertools 8.10.0-4
python-msgpack 1.0.3-1
python-notify2 0.3.1-7
python-numpy 1.22.2-1
python-openrazer 3.2.0-1
python-ordered-set 4.0.2-6
python-packaging 20.9-7
python-patiencediff 0.2.2-3
python-pep517 0.12.0-4
python-pillow 9.0.1-1
python-pip 20.3.4-4
python-ply 3.11-10
python-progress 1.6-5
python-pycparser 2.21-3
python-pyopenssl 21.0.0-5
python-pyparsing 3.0.0-1
python-pystache 0.5.4-10
python-pyudev 0.22-7
python-pyusb 1.2.1-3
python-pyxdg 0.27-4
python-requests 2.27.1-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setproctitle 1.2.2-3
python-setuptools 1:59.3.0-1
python-six 1.16.0-5
python-toml 0.10.2-7
python-tomli 2.0.0-1
python-urllib3 1.26.8-1
python-webencodings 0.5.1-9
python-yaml 6.0-1
qemu 6.2.0-4
